Released,Title,ProdBudget,DomesticBO,InternationalBO,CPI,InflAdjBudget,InflAdjDomesticBO
1997-12-19,Titanic,2e+08,659363944,1548844451,161.3,313005579.66522,1031922967.51033
1997-07-01,Men in Black,9e+07,250690539,337100000,160.5,141554579.439252,394293264.639383
1997-05-22,The Lost World: Jurassic Park,7.5e+07,229086679,389552320,160.1,118256870.705809,361214317.052349
1997-03-21,Liar Liar,4.5e+07,181410615,121300000,160,70998468.75,286219463.999906
1997-07-25,Air Force One,8.5e+07,172956409,142311944,160.5,133690436.137072,272030797.081315
1997-12-24,As Good as it Gets,5e+07,148478011,165633912,161.3,78251394.916305,232372229.50297
1997-12-05,Good Will Hunting,1e+07,138433435,87492554,161.3,15650278.983261,216652187.836113
1997-06-20,My Best Friend's Wedding,4.6e+07,126813153,172110266,160.3,72440386.7747973,199704214.16199
1997-12-19,Tomorrow Never Dies,1.1e+08,125304276,214200000,161.3,172153068.815871,196104687.719554
1997-06-27,Face/Off,8e+07,112276146,128923854,160.3,125983281.347473,176811466.1266
1997-06-20,Batman & Robin,1.25e+08,107325195,130992619,160.3,196848877.105427,169014752.966968
1997-07-16,George Of The Jungle,5.5e+07,105263257,69200000,160.5,86505576.3239875,165561067.500455
1997-12-12,Scream 2,2.4e+07,101363301,7.1e+07,161.3,37560669.5598264,158636393.931426
1997-06-06,Con Air,8e+07,101117573,1.23e+08,160.3,125983281.347473,159239045.605409
1997-07-11,Contact,9e+07,100920329,64979671,160.5,141554579.439252,158730385.871844
1997-06-13,Hercules,7e+07,99112101,151587899,160.3,110235371.179039,156080846.315278
1997-11-26,Flubber,8e+07,92993801,8.5e+07,161.5,125047182.662539,145357660.251635
1997-08-08,Conspiracy Theory,8e+07,76118990,66664728,160.8,125591542.288557,119498766.894341
1997-10-17,I Know What You Did Last Summer,1.7e+07,72250091,5.3e+07,161.6,26556082.9207921,112863494.566516
1997-02-07,Dante's Peak,1.15e+08,67163857,111036143,159.6,181895269.423559,106232937.952525
1997-04-11,Anaconda,4.5e+07,65598907,71400000,160.2,70909831.4606742,103369054.208321
1997-09-19,L.A. Confidential,3.5e+07,64604977,61600000,161.2,54809956.5756824,101171313.826942
1997-09-19,In & Out,3.5e+07,63826569,19400000,161.2,54809956.5756824,99952327.8647084
1997-05-09,The Fifth Element,9.5e+07,63570862,200327899,160.1,149792036.227358,100235882.775878
1997-12-19,Mouse Hunt,3.8e+07,61894591,0,161.3,59471060.1363918,96866761.6704836
1997-04-04,The Saint,9e+07,61363304,108036696,160.2,141819662.921348,96694700.9891136
1997-10-17,Devil's Advocate,5.7e+07,61007424,9.2e+07,161.6,89040983.9108911,95301071.2075247
1997-10-03,Kiss the Girls,2.7e+07,60527873,0,161.6,42177308.1683168,94551953.7886572
1997-03-07,Jungle 2 Jungle,0,59925026,0,160,0,94546335.2400875
1997-11-14,Anastasia,5.3e+07,58403409,81397687,161.5,82843758.5139319,91289771.9167245
1997-07-31,Spawn,4e+07,54979992,32969867,160.5,62913146.4174455,86474107.1681495
1997-11-14,The Jackal,6e+07,54956941,104400000,161.5,93785386.996904,85902632.997517
1997-11-07,Starship Troopers,1e+08,54768952,66331048,161.5,156308978.328173,85608789.3122477
1997-05-02,Austin Powers: International Man of M…,1.8e+07,53883989,13800000,160.1,28381648.9693941,84962025.6038164
1997-05-02,Breakdown,3.6e+07,50159144,0,160.1,56763297.9387883,79088845.4229607
1997-02-14,Absolute Power,5e+07,50068310,0,159.6,79084899.7493734,79192945.539411
1997-09-12,The Game,5e+07,48265581,32104389,161.2,78299937.9652606,75583839.9631452
1997-08-22,G.I. Jane,5e+07,48169156,0,160.8,78494713.9303483,75620482.4097264
1997-06-13,Speed 2: Cruise Control,1.1e+08,48097081,102370919,160.3,173227011.852776,75742851.0951903
1997-11-26,Alien: Resurrection,6e+07,47795018,112904982,161.5,93785386.996904,74707904.3275666
1997-04-25,Volcano,9e+07,47546796,72553204,160.2,141819662.921348,74923006.4634457
1997-08-13,The Full Monty,3500000,45950122,215299261,160.8,5494629.97512438,72136833.629092
1997-11-21,The Rainmaker,4e+07,45916769,0,161.5,62523591.3312694,71772032.5052074
1997-10-17,Bean,0,45334169,211239959,161.6,0,70817526.5358354
