Released,Title,Genre,ProductionBudget,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
1997-12-19,Titanic,Thriller/Suspense,2e+08,659363944,1221536331,1548844451,2208208395
1997-07-01,Men in Black,Adventure,9e+07,250690539,489909879,337100000,587790539
1997-05-22,The Lost World: Jurassic Park,Action,7.5e+07,229086679,447692260,389552320,618638999
1997-03-21,Liar Liar,Comedy,4.5e+07,181410615,354521391,121300000,302710615
1997-07-25,Air Force One,Action,8.5e+07,172956409,337979930,142311944,315268353
1997-12-24,As Good as it Gets,Romantic Comedy,5e+07,148478011,285707937,165633912,314111923
1997-12-05,Good Will Hunting,Drama,1e+07,138433435,265081880,87492554,225925989
1997-06-20,My Best Friend's Wedding,Comedy,4.6e+07,126813153,247822846,172110266,298923419
1997-12-19,Tomorrow Never Dies,Action,1.1e+08,125304276,243505989,214200000,339504276
1997-06-27,Face/Off,Action,8e+07,112276146,219415466,128923854,241200000
1997-06-20,Batman & Robin,Action,1.25e+08,107325195,209740083,130992619,238317814
1997-07-16,George Of The Jungle,Adventure,5.5e+07,105263257,205710544,69200000,174463257
1997-12-12,Scream 2,Horror,2.4e+07,101363301,197428929,7.1e+07,172363301
1997-06-06,Con Air,Action,8e+07,101117573,197608849,1.23e+08,224117573
1997-07-11,Contact,Drama,9e+07,100920329,197223381,64979671,165900000
1997-06-13,Hercules,Adventure,7e+07,99112101,193689659,151587899,250700000
1997-11-26,Flubber,Comedy,8e+07,92993801,181322136,8.5e+07,177993801
1997-08-08,Conspiracy Theory,Thriller/Suspense,8e+07,76118990,148755403,66664728,142783718
1997-10-17,I Know What You Did Last Summer,Horror,1.7e+07,72250091,141118650,5.3e+07,125250091
1997-02-07,Dante's Peak,Drama,1.15e+08,67163857,131254853,111036143,178200000
1997-04-11,Anaconda,Horror,4.5e+07,65598907,128196549,71400000,136998907
1997-09-19,L.A. Confidential,Drama,3.5e+07,64604977,125157917,61600000,126204977
1997-09-19,In & Out,Comedy,3.5e+07,63826569,124715911,19400000,83226569
1997-05-09,The Fifth Element,Action,9.5e+07,63570862,124233253,200327899,263898761
1997-12-19,Mouse Hunt,Adventure,3.8e+07,61894591,120048488,0,61894591
1997-04-04,The Saint,Action,9e+07,61363304,119919132,108036696,169400000
1997-10-17,Devil's Advocate,Drama,5.7e+07,61007424,119143837,9.2e+07,153007424
1997-10-03,Kiss the Girls,Thriller/Suspense,2.7e+07,60527873,118254389,0,60527873
1997-03-07,Jungle 2 Jungle,Comedy,0,59925026,117108382,0,59925026
1997-11-14,Anastasia,Musical,5.3e+07,58403409,113915771,81397687,139801096
1997-07-31,Spawn,Action,4e+07,54979992,107444553,32969867,87949859
1997-11-14,The Jackal,Thriller/Suspense,6e+07,54956941,107324364,104400000,159356941
1997-11-07,Starship Troopers,Action,1e+08,54768952,107013446,66331048,121100000
1997-05-02,Austin Powers: International Man of M…,Comedy,1.8e+07,53883989,105302696,13800000,67683989
1997-05-02,Breakdown,Thriller/Suspense,3.6e+07,50159144,98023424,0,50159144
