movie,distributor,gross,percent_change,theaters,per_theater,total_gross,days,date,lc_movie
Spawn,New Line,8391977,,2536,3309,8391977,2,1997-08-01,spawn
Spawn,New Line,7229547,-14,2536,2851,15621524,3,1997-08-02,spawn
Spawn,New Line,5588607,-23,2536,2204,21210131,4,1997-08-03,spawn
Spawn,New Line,2375767,-57,2536,937,23585898,5,1997-08-04,spawn
Spawn,New Line,2097769,-12,2536,827,25683667,6,1997-08-05,spawn
Spawn,New Line,1627848,-22,2536,642,27311515,7,1997-08-06,spawn
Spawn,New Line,1437192,-12,2536,567,28748707,8,1997-08-07,spawn
Spawn,New Line,2667910,86,2604,1025,31416617,9,1997-08-08,spawn
Spawn,New Line,3466078,30,2604,1331,34882695,10,1997-08-09,spawn
Spawn,New Line,2815966,-19,2604,1081,37698661,11,1997-08-10,spawn
Spawn,New Line,1144527,-59,2604,440,38843188,12,1997-08-11,spawn
Spawn,New Line,1124998,-2,2604,432,39968186,13,1997-08-12,spawn
Spawn,New Line,955923,-15,2604,367,40924109,14,1997-08-13,spawn
Spawn,New Line,739398,-23,2604,284,41663507,15,1997-08-14,spawn
Event Horizon,Paramount Pictures,3088865,,2311,1337,3088865,1,1997-08-15,event horizon
Spawn,New Line,1351688,83,2478,545,43015195,16,1997-08-15,spawn
Event Horizon,Paramount Pictures,3512269,14,2311,1520,6601134,2,1997-08-16,event horizon
Spawn,New Line,2081556,54,2478,840,45096751,17,1997-08-16,spawn
Event Horizon,Paramount Pictures,2910781,-17,2311,1260,9511915,3,1997-08-17,event horizon
Spawn,New Line,1553630,-25,2478,627,46650381,18,1997-08-17,spawn
Event Horizon,Paramount Pictures,1120253,-62,2311,485,10632168,4,1997-08-18,event horizon
Spawn,New Line,563760,-64,2478,228,47214141,19,1997-08-18,spawn
Event Horizon,Paramount Pictures,1032555,-8,2311,447,11664723,5,1997-08-19,event horizon
Spawn,New Line,560792,-1,2478,226,47774933,20,1997-08-19,spawn
Event Horizon,Paramount Pictures,903037,-13,2311,391,12567760,6,1997-08-20,event horizon
Spawn,New Line,524092,-7,2478,211,48299025,21,1997-08-20,spawn
Event Horizon,Paramount Pictures,868496,-4,2311,376,13436256,7,1997-08-21,event horizon
Spawn,New Line,475574,-9,2478,192,48774599,22,1997-08-21,spawn
Mimic,Miramax,2578596,,2255,1144,2578596,1,1997-08-22,mimic
Event Horizon,Paramount Pictures,1357814,56,2328,583,14794070,8,1997-08-22,event horizon
Spawn,New Line,449774,-5,1408,319,49224373,23,1997-08-22,spawn
Mimic,Miramax,2937149,14,2255,1303,5515745,2,1997-08-23,mimic
