title,startYear,url
The Naked Monster,2005,https://www.rottentomatoes.com/m/naked_monster
Bugged,1997,https://www.rottentomatoes.com/m/bugged
The Killing Jar,1997,https://www.rottentomatoes.com/m/killing_jar
Alien: Resurrection,1997,https://www.rottentomatoes.com/m/alien_resurrection
Anaconda,1997,https://www.rottentomatoes.com/m/anaconda
The Attic Expeditions,2001,https://www.rottentomatoes.com/m/attic_expeditions
Bleak Future,1997,https://www.rottentomatoes.com/m/bleak_future
Decampitated,1998,https://www.rottentomatoes.com/m/decampitated
Deep Rising,1998,https://www.rottentomatoes.com/m/deep_rising
Event Horizon,1997,https://www.rottentomatoes.com/m/event_horizon
Snow White: A Tale of Terror,1997,https://www.rottentomatoes.com/m/snow_white_a_tale_of_terror
The Haunted Sea,1997,https://www.rottentomatoes.com/m/haunted_sea
Bleeders,1997,https://www.rottentomatoes.com/m/bleeders
Hideous!,1997,https://www.rottentomatoes.com/m/hideous
I Know What You Did Last Summer,1997,https://www.rottentomatoes.com/m/i_know_what_you_did_last_summer
Kokkuri,1997,https://www.rottentomatoes.com/m/kokkuri
The Wax Mask,1997,https://www.rottentomatoes.com/m/wax_mask
Mimic,1997,https://www.rottentomatoes.com/m/mimic
Office Killer,1997,https://www.rottentomatoes.com/m/office_killer
Parasite Eve,1997,https://www.rottentomatoes.com/m/parasite_eve
Dance with the Devil,1997,https://www.rottentomatoes.com/m/dance_with_the_devil
Phantoms,1998,https://www.rottentomatoes.com/m/phantoms
Ravager,1997,https://www.rottentomatoes.com/m/ravager
The Relic,1997,https://www.rottentomatoes.com/m/relic
Scream 2,1997,https://www.rottentomatoes.com/m/scream_2
Spawn,1997,https://www.rottentomatoes.com/m/spawn
Sphere,1998,https://www.rottentomatoes.com/m/sphere
Strawberry Estates,2001,https://www.rottentomatoes.com/m/strawberry_estates
Wishmaster,1997,https://www.rottentomatoes.com/m/wishmaster
From Hell,2001,https://www.rottentomatoes.com/m/from_hell
Resident Evil,2002,https://www.rottentomatoes.com/m/resident_evil
Species II,1998,https://www.rottentomatoes.com/m/species_ii
eXistenZ,1999,https://www.rottentomatoes.com/m/existenz
The Coroner,1999,https://www.rottentomatoes.com/m/coroner
The Last Broadcast,1998,https://www.rottentomatoes.com/m/last_broadcast
Arrival II,1998,https://www.rottentomatoes.com/m/arrival_ii
Aberration,1997,https://www.rottentomatoes.com/m/aberration
Strangeland,1998,https://www.rottentomatoes.com/m/strangeland
Bloodletting,1997,https://www.rottentomatoes.com/m/bloodletting
Shrieker,1998,https://www.rottentomatoes.com/m/shrieker
Go to Hell,1999,https://www.rottentomatoes.com/m/go_to_hell
Shadow Zone: My Teacher Ate My Homework,1997,https://www.rottentomatoes.com/m/shadow_zone_my_teacher_ate_my_homework
Ravenous,1999,https://www.rottentomatoes.com/m/ravenous
Search for the Beast,1997,https://www.rottentomatoes.com/m/search_for_the_beast
I Still Know What You Did Last Summer,1998,https://www.rottentomatoes.com/m/i_still_know_what_you_did_last_summer
Pep Squad,1998,https://www.rottentomatoes.com/m/pep_squad
The Faculty,1998,https://www.rottentomatoes.com/m/faculty
Scream 3,2000,https://www.rottentomatoes.com/m/scream_3
Disturbing Behavior,1998,https://www.rottentomatoes.com/m/disturbing_behavior
Pitch Black,2000,https://www.rottentomatoes.com/m/pitch_black
Rasen,1998,https://www.rottentomatoes.com/m/rasen
Addicted to Murder: Tainted Blood,1998,https://www.rottentomatoes.com/m/addicted_to_murder_tainted_blood
Bug Buster,1998,https://www.rottentomatoes.com/m/bug_buster
The Landlady,1998,https://www.rottentomatoes.com/m/landlady
Creep,1998,https://www.rottentomatoes.com/m/creep
Idle Hands,1999,https://www.rottentomatoes.com/m/idle_hands
Phantasm IV: Oblivion,1998,https://www.rottentomatoes.com/m/phantasm_iv_oblivion
Pi,1998,https://www.rottentomatoes.com/m/pi
Bone Daddy,1998,https://www.rottentomatoes.com/m/bone_daddy
Lake Placid,1999,https://www.rottentomatoes.com/m/lake_placid
The Minion,1998,https://www.rottentomatoes.com/m/minion
Bride of Chucky,1998,https://www.rottentomatoes.com/m/bride_of_chucky
The Rage: Carrie 2,1999,https://www.rottentomatoes.com/m/rage_carrie_2
Stigmata,1999,https://www.rottentomatoes.com/m/stigmata
Urban Legend,1998,https://www.rottentomatoes.com/m/urban_legend
End of Days,1999,https://www.rottentomatoes.com/m/end_of_days
Ice from the Sun,1999,https://www.rottentomatoes.com/m/ice_from_the_sun
Kolobos,1999,https://www.rottentomatoes.com/m/kolobos
Freak,1999,https://www.rottentomatoes.com/m/freak
The Clown at Midnight,1999,https://www.rottentomatoes.com/m/clown_at_midnight
Legend of the Mummy,1998,https://www.rottentomatoes.com/m/legend_of_the_mummy
Razor Blade Smile,1998,https://www.rottentomatoes.com/m/razor_blade_smile
Eye See You,2002,https://www.rottentomatoes.com/m/eye_see_you
Hot Wax Zombies on Wheels,1999,https://www.rottentomatoes.com/m/hot_wax_zombies_on_wheels
What Lies Beneath,2000,https://www.rottentomatoes.com/m/what_lies_beneath
My Sweet Killer,1999,https://www.rottentomatoes.com/m/my_sweet_killer
Sleepy Hollow,1999,https://www.rottentomatoes.com/m/sleepy_hollow
Bless the Child,2000,https://www.rottentomatoes.com/m/bless_the_child
Hollow Man,2000,https://www.rottentomatoes.com/m/hollow_man
Stir of Echoes,1999,https://www.rottentomatoes.com/m/stir_of_echoes
Natural Selection,1999,https://www.rottentomatoes.com/m/natural_selection
Bones,2001,https://www.rottentomatoes.com/m/bones
Lady of the Lake,1998,https://www.rottentomatoes.com/m/lady_of_the_lake
Death Mask,1998,https://www.rottentomatoes.com/m/death_mask
Hellboy,2004,https://www.rottentomatoes.com/m/hellboy
Milo,1998,https://www.rottentomatoes.com/m/milo
Progeny,1998,https://www.rottentomatoes.com/m/progeny
The 4th Floor,1999,https://www.rottentomatoes.com/m/4th_floor
Kichiku dai enkai,1997,https://www.rottentomatoes.com/m/kichiku_dai_enkai
Terror Firmer,1999,https://www.rottentomatoes.com/m/terror_firmer
Viewer Discretion Advised,1998,https://www.rottentomatoes.com/m/viewer_discretion_advised
Party Crasher: My Bloody Birthday,2000,https://www.rottentomatoes.com/m/party_crasher_my_bloody_birthday
Frankenstein Reborn!,1998,https://www.rottentomatoes.com/m/frankenstein_reborn
Cherry Falls,2000,https://www.rottentomatoes.com/m/cherry_falls
Ringu,1998,https://www.rottentomatoes.com/m/ringu
The Item,1999,https://www.rottentomatoes.com/m/item
The Blair Witch Project,1999,https://www.rottentomatoes.com/m/blair_witch_project
Anatomy,2000,https://www.rottentomatoes.com/m/anatomy
Blade II,2002,https://www.rottentomatoes.com/m/blade_ii
The Quiet Family,1998,https://www.rottentomatoes.com/m/quiet_family
Cut,2000,https://www.rottentomatoes.com/m/cut
Shadow of the Vampire,2000,https://www.rottentomatoes.com/m/shadow_of_the_vampire
Sixteen Tongues,1999,https://www.rottentomatoes.com/m/sixteen_tongues
Buttcrack,1998,https://www.rottentomatoes.com/m/buttcrack
Alien Blood,1999,https://www.rottentomatoes.com/m/alien_blood
Urban Legends: Final Cut,2000,https://www.rottentomatoes.com/m/urban_legends_final_cut
The Haunting of Hell House,1999,https://www.rottentomatoes.com/m/haunting_of_hell_house
Final Destination,2000,https://www.rottentomatoes.com/m/final_destination
Paranoid,2000,https://www.rottentomatoes.com/m/paranoid
Bats,1999,https://www.rottentomatoes.com/m/bats
Blood Dolls,1999,https://www.rottentomatoes.com/m/blood_dolls
Spiders,2000,https://www.rottentomatoes.com/m/spiders
Exorcist: The Beginning,2004,https://www.rottentomatoes.com/m/exorcist_the_beginning
Hookers in a Haunted House,1999,https://www.rottentomatoes.com/m/hookers_in_a_haunted_house
The Watcher,2000,https://www.rottentomatoes.com/m/watcher
Trouble Every Day,2001,https://www.rottentomatoes.com/m/trouble_every_day
Psycho Beach Party,2000,https://www.rottentomatoes.com/m/psycho_beach_party
Mirror,1999,https://www.rottentomatoes.com/m/mirror
Gemini,1999,https://www.rottentomatoes.com/m/gemini
Terror Tract,2000,https://www.rottentomatoes.com/m/terror_tract
Bruiser,2000,https://www.rottentomatoes.com/m/bruiser
Belphegor: Phantom of the Louvre,2001,https://www.rottentomatoes.com/m/belphegor_phantom_of_the_louvre
Route 666,2001,https://www.rottentomatoes.com/m/route_666
The Convent,2000,https://www.rottentomatoes.com/m/convent
