title,reviews,criticScore,tMeter,audScore
Alien: Resurrection,"The franchise has lost none of its taste for acid-spewing, flesh-impaling, entrail-dripping gore. But the tone has changed...If this is your cup of slime, this jauntily gruesome installment won't disappoint.",fresh,54,39
Alien: Resurrection,"Weaver obviously knows her role by now, but Winona Ryder is as much of an action hero as Julie Nixon would be, going way out of her element.",rotten,54,39
Alien: Resurrection,"It satisfactorily recycles the great surprises that made the first movie so powerful. And most significantly, it makes a big hoot of the whole business.",fresh,54,39
Alien: Resurrection,"It brings a mordant, crackerjack wit to the world of chest-busting, head-ripping creepazoids from beyond.",fresh,54,39
Alien: Resurrection,"If you need to read a review to decide if you want to see ""Alien Resurrection,"" you absolutely shouldn't be going.",rotten,54,39
Alien: Resurrection,"The film is a marvel, a well-photographed feast of visual imagery.",fresh,54,39
Alien: Resurrection,"Without anything to pull the project in a single direction, it fumbles and flails, punctuated by some interesting visuals and action beats, but content to coast on the calm seas of been-there, done-that.",rotten,54,39
Alien: Resurrection,"If you prefer the action of Aliens, then Alien: Resurrection has the next best action of the franchise. If you prefer the horror of Alien, Alien: Resurrection is the second scariest one.",fresh,54,39
Alien: Resurrection,"This is not a Hollywood space thriller at all, but an intergalactic fantasy driven by the same cheerfully eccentric impulses that have informed a myriad of high-spirited French filmmakers.",fresh,54,39
Alien: Resurrection,"A blend of surrealist humor, unintentional self-parody and groan-inducing moments, this is easily the nadir of the franchise.",rotten,54,39
Alien: Resurrection,"[Jeuenet] doesn't push it all the way to ""so bad it's good"" territory, but he at least gives a healthy dose of the bizarre that makes it memorable, in its fashion.",rotten,54,39
Alien: Resurrection,"This fourth chapter in the popular sci-fi-horror franchise is without a doubt the weakest, both dramatically and visually.",rotten,54,39
Anaconda,"The monster looks like a maniacal garden hose in a couple of sequences. Still, it delivers the necessary thrills and chills.",fresh,40,24
Anaconda,"Anaconda, directed by Luis Llosa with all of the subtlety of a snake-oil salesman, is in the great tradition of cinematic cheese, as processed as Kraft Singles slices.",fresh,40,24
Anaconda,A silly and plodding Jaws rip-off about a 40-foot man-eating snake on the prowl in the Brazilian rain forest.,rotten,40,24
Anaconda,"One never questions the realism of the remarkable animatronic and computer-generated effects, but it's hard to credit a snake that screams.",rotten,40,24
Anaconda,Anaconda is about a snake that eats everybody. That about says it all.,rotten,40,24
Anaconda,Anaconda is such a classic combination of feckless dramaturgy and rampant excess that giving way to giggles is the only sane response.,fresh,40,24
Anaconda,"Yet somehow, Anaconda racks up a winning score (and body count) with a mix of imagination and humour.",fresh,40,24
Anaconda,An above average specimen hungering for tasty morsels.,fresh,40,24
Anaconda,"Just to show, early on, how much danger these folks are in, we get to see the film's titular star squeeze a black panther so tight that one of its eyeballs pops out.",rotten,40,24
Anaconda,"In its natural habitat, Anaconda can be appreciated for its campy pleasures, not the least of which is Jon Voight in a delirious, balls-out performance as creepy Paraguayan snake poacher Paul Serone. [Blu-ray]",fresh,40,24
Anaconda,...never quite lives up to the promise of its admittedly irresistible set-up...,rotten,40,24
Anaconda,lives better in the memory,fresh,40,24
Deep Rising,"Ya gotta give a sliver of credit to any movie that would include the term ""Half-Digested Billy"" in its closing credits.",rotten,29,42
Deep Rising,"One of the big problems with this film compiled out of big problems: it has awful characters, and awful performances bringing them to life.",rotten,29,42
Deep Rising,"For a movie with so much story and set up, it's shocking how well ""Deep Rising"" comes together.",fresh,29,42
Deep Rising,"The rest of the movie is a predictable guns 'n' beasts gorefest that wants to be equal parts Aliens, Titanic, and Anaconda but winds up being all parts crap.",rotten,29,42
Deep Rising,Much better in memory...,fresh,29,42
Deep Rising,...an old-fashioned and flat-out fun monster movie that benefits from Treat Williams' tremendously engaging lead performance.,fresh,29,42
Deep Rising,"It's Poseidon Adventure, Alien Resurrection, any heist movies, Jaws, and a little art house flick called Titanic all in one.",fresh,29,42
Deep Rising,Underwater slimies eat everyone. A sly sense of humor helps immeasurably.,fresh,29,42
Deep Rising,It's a pity the creatures don't eat the cast up faster,rotten,29,42
Event Horizon,"For a movie this heavily compromised, Event Horizon remains the very best entry on Anderson's otherwise questionable filmography.",fresh,26,61
Event Horizon,"If I were a psychologist hired to analyze the people who made this, I would conclude that everyone involved needed to take their inner child out back and shoot it.",rotten,26,61
Event Horizon,"Where's the application form for the job where you get paid to rip off the lamer and more bombastic aspects of Barker, Kubrick and Scott? I'm sorry I missed that notice.",rotten,26,61
Event Horizon,"Eschewing the predictable plotting and happy endings of recent big-budget sci-fi productions, Event Horizon emerges as a truly twisted, nightmarish summer shocker.",fresh,26,61
Event Horizon,You look at Event Horizon as you would something that fell out of someone's nose.,rotten,26,61
